LGA_name,LGA_rate,offence_count,offence_subdiv,year
Hobsons Bay,44.660849863,41,B30 Burglary/Break and enter,2022
Hobsons Bay,296.286613727,272,B40 Theft,2022
Hobsons Bay,2.178578042,2,B50 Deception,2022
Hobsons Bay,15.250046295,14,B50 Deception,2022
Hobsons Bay,1.089289021,1,C10 Drug dealing and trafficking,2022
Hobsons Bay,59.910896158,55,C10 Drug dealing and trafficking,2022
Hobsons Bay,10.892890211,10,C20 Cultivate or manufacture drugs,2022
Hobsons Bay,349.661775759,321,C30 Drug use and possession,2022
Hobsons Bay,10.892890211,10,D10 Weapons and explosives offences,2022
Hobsons Bay,5.446445105,5,D20 Disorderly and offensive conduct,2022
Hobsons Bay,25.053647484,23,D20 Disorderly and offensive conduct,2022
Hobsons Bay,1.089289021,1,D30 Public nuisance offences,2022
Hobsons Bay,55.553740074,51,D30 Public nuisance offences,2022
Hobsons Bay,3.267867063,3,E10 Justice procedures,2022
Hobsons Bay,7.625023147,7,F20 Transport regulation offences,2022
Hobsons Bay,1.089289021,1,F30 Other government regulatory offences,2022
Hobsons Bay,1.089289021,1,F30 Other government regulatory offences,2022
Hobsons Bay,3.267867063,3,F90 Miscellaneous offences,2022
Hobsons Bay,151.733555876,140,A20 Assault and related offences,2021
Hobsons Bay,24.927655608,23,A50 Robbery,2021
Hobsons Bay,10.838111134,10,"A70 Stalking, harassment and threatening behaviour",2021
Hobsons Bay,20.592411155,19,B10 Arson,2021
Hobsons Bay,52.022933443,48,B30 Burglary/Break and enter,2021
Hobsons Bay,901.730846348,832,B40 Theft,2021
Hobsons Bay,230.851767154,213,B40 Theft,2021
Hobsons Bay,171.242155917,158,B40 Theft,2021
Hobsons Bay,403.177734184,372,B50 Deception,2021
Hobsons Bay,2.167622227,2,B50 Deception,2021
Hobsons Bay,41.184822309,38,C10 Drug dealing and trafficking,2021
Hobsons Bay,2.167622227,2,C30 Drug use and possession,2021
Hobsons Bay,13.005733361,12,D20 Disorderly and offensive conduct,2021
Hobsons Bay,8.670488907,8,D20 Disorderly and offensive conduct,2021
Hobsons Bay,4.335244454,4,D30 Public nuisance offences,2021
Hobsons Bay,2.167622227,2,E10 Justice procedures,2021
Hobsons Bay,85.621077959,79,E10 Justice procedures,2021
Hobsons Bay,58.525800124,54,E20 Breaches of orders,2021
Hobsons Bay,27.095277835,25,E20 Breaches of orders,2021
Hobsons Bay,1.083811113,1,F20 Transport regulation offences,2021
Hobsons Bay,1.083811113,1,F20 Transport regulation offences,2021
Hobsons Bay,2.167622227,2,F30 Other government regulatory offences,2021
Hobsons Bay,2.167622227,2,F90 Miscellaneous offences,2021
Hobsons Bay,1.050497411,1,A40 Abduction and related offences,2020
Hobsons Bay,6.302984463,6,A40 Abduction and related offences,2020
Hobsons Bay,2.100994821,2,A60 Blackmail and extortion,2020
Hobsons Bay,19.9594508,19,"A70 Stalking, harassment and threatening behaviour",2020
Hobsons Bay,14.706963747,14,"A70 Stalking, harassment and threatening behaviour",2020
Hobsons Bay,22.060445621,21,"A70 Stalking, harassment and threatening behaviour",2020
Hobsons Bay,8.403979284,8,A80 Dangerous and negligent acts endangering people,2020
Hobsons Bay,1.050497411,1,B10 Arson,2020
Hobsons Bay,427.552446083,407,B20 Property damage,2020
Hobsons Bay,34.666414547,33,B20 Property damage,2020
Hobsons Bay,149.170632294,142,B30 Burglary/Break and enter,2020
Hobsons Bay,144.968642652,138,B30 Burglary/Break and enter,2020
Hobsons Bay,1.050497411,1,B30 Burglary/Break and enter,2020
Hobsons Bay,747.954156293,712,B40 Theft,2020
Hobsons Bay,158.625108989,151,B40 Theft,2020
Hobsons Bay,614.540985156,585,B40 Theft,2020
Hobsons Bay,25.211937853,24,B50 Deception,2020
